keys,en,mi,es,de,ru,ja,ar,hi
AudioDevices service unavailable.,AudioDevices service unavailable.,Kāore te ratonga AudioDevices i te wātea.,Servicio AudioDevices no disponible.,AudioDevices-Dienst nicht verfügbar.,Служба AudioDevices недоступна.,AudioDevices サービスを利用できません。,خدمة AudioDevices غير متاحة.,AudioDevices सेवा उपलब्ध नहीं।
"Auto-continue: next cue starts after post-wait.
Click to cycle → Auto-follow → None","Auto-continue: next cue starts after post-wait.
Click to cycle → Auto-follow → None","Haere-aunoa: ka tīmata te tohu panuku i muri i te tataritanga-muri.
Pāwhiritia kia huri → Whai-aunoa → Kore","Auto-continuar: la siguiente cue empieza tras la postespera.
Clic para ciclar → Auto-seguir → Ninguno","Auto-Continue: nächster Cue startet nach der Nachwartezeit.
Klicken zum Wechsel → Auto-Follow → Keine","Автопродолжение: следующая реплика стартует после пост-паузы.
Клик: Автоследование → Нет","オートコンティニュー: ポストウェイト後に次のキューが開始。
クリックで切替 → オートフォロー → なし","متابعة تلقائية: تبدأ الإشارة التالية بعد الانتظار اللاحق.
انقر للتبديل → تتبع تلقائي → لا شيء","ऑटो-कंटिन्यू: पोस्ट-वेट के बाद अगला क्यू शुरू।
क्लिक करके बदलें → ऑटो-फ़ॉलो → कोई नहीं"
"Auto-follow: next cue starts when this cue completes.
Click to cycle → None → Auto-continue","Auto-follow: next cue starts when this cue completes.
Click to cycle → None → Auto-continue","Whai-aunoa: ka tīmata te tohu panuku ina oti tēnei tohu.
Pāwhiritia kia huri → Kore → Haere-aunoa","Auto-seguir: la siguiente cue empieza al completar esta.
Clic para ciclar → Ninguno → Auto-continuar","Auto-Follow: nächster Cue startet, wenn dieser endet.
Klicken zum Wechsel → Keine → Auto-Continue","Автоследование: следующая реплика стартует по завершении этой.
Клик: Нет → Автопродолжение","オートフォロー: このキュー完了時に次が開始。
クリックで切替 → なし → オートコンティニュー","تتبع تلقائي: تبدأ الإشارة التالية عند اكتمال هذه.
انقر للتبديل → لا شيء → متابعة تلقائية","ऑटो-फ़ॉलो: यह क्यू पूरा होने पर अगला शुरू।
क्लिक करके बदलें → कोई नहीं → ऑटो-कंटिन्यू"
"Autosave Interval (min, 0=off)","Autosave Interval (min, 0=off)","Wā tiaki-aunoa (meneti, 0=weto)","Intervalo de autoguardado (min, 0=off)","Autosave-Intervall (Min., 0=aus)","Интервал автосохранения (мин, 0=выкл)",自動保存間隔（分、0=オフ）,فاصل الحفظ التلقائي (دقيقة، 0=إيقاف),"ऑटोसेव अंतराल (मिनट, 0=बंद)"
Autowrap,Autowrap,Takahuri-aunoa,Ajuste automático,Zeilenumbruch,Автоперенос,自動折り返し,التفاف تلقائي,ऑटो रैप
Background,Background,Papamuri,Fondo,Hintergrund,Фон,背景,الخلفية,पृष्ठभूमि
Background colour,Background colour,Tae papamuri,Color de fondo,Hintergrundfarbe,Цвет фона,背景色,لون الخلفية,पृष्ठभूमि रंग
Background process,Background process,Hātepe papamuri,Proceso en segundo plano,Hintergrundprozess,Фоновый процесс,バックグラウンド処理,عملية خلفية,पृष्ठभूमि प्रक्रिया
Backup Depth,Backup Depth,Hōhonu pūrua,Profundidad de copias,Backup-Tiefe,Глубина резервных копий,バックアップ数,عمق النسخ الاحتياطي,बैकअप गहराई
Backup media,Backup media,Pūrua pāpāho,Respaldar medios,Medien sichern,Резерв медиа,メディアをバックアップ,نسخ الوسائط احتياطياً,मीडिया बैकअप
BBCode,BBCode,BBCode,BBCode,BBCode,BBCode,BBCode,BBCode,BBCode
"Before opening, make a backup copy of this showfile (.c2) and its media folders ","Before opening, make a backup copy of this showfile (.c2) and its media folders ","Before opening, make a backup copy of this showfile (.c2) and its media folders ","Before opening, make a backup copy of this showfile (.c2) and its media folders ","Before opening, make a backup copy of this showfile (.c2) and its media folders ","Before opening, make a backup copy of this showfile (.c2) and its media folders ","Before opening, make a backup copy of this showfile (.c2) and its media folders ","Before opening, make a backup copy of this showfile (.c2) and its media folders ","Before opening, make a backup copy of this showfile (.c2) and its media folders "
"Before opening, make a backup copy of this showfile and its media folders.","Before opening, make a backup copy of this showfile and its media folders.","Before opening, make a backup copy of this showfile and its media folders.","Before opening, make a backup copy of this showfile and its media folders.","Before opening, make a backup copy of this showfile and its media folders.","Before opening, make a backup copy of this showfile and its media folders.","Before opening, make a backup copy of this showfile and its media folders.","Before opening, make a backup copy of this showfile and its media folders.","Before opening, make a backup copy of this showfile and its media folders."
being used but not connected,being used but not connected,e whakamahia ana ēngari kāore i tūhono,en uso pero no conectado,"verwendet, aber nicht verbunden","используется, но не подключено",使用中だが未接続,مستخدم وغير متصل,उपयोग में है पर कनेक्ट नहीं
Below target cue,Below target cue,Ki raro i te tohu ūnga,Debajo de la cue destino,Unter dem Ziel-Cue,Под целевой репликой,対象キューの下,أسفل الإشارة المستهدفة,लक्ष्य क्यू के नीचे
BG,BG,BG,BG,BG,BG,BG,BG,BG
Bind the UDP receive port and process incoming OSC messages.,Bind the UDP receive port and process incoming OSC messages.,Bind the UDP receive port and process incoming OSC messages.,Bind the UDP receive port and process incoming OSC messages.,Bind the UDP receive port and process incoming OSC messages.,Bind the UDP receive port and process incoming OSC messages.,Bind the UDP receive port and process incoming OSC messages.,Bind the UDP receive port and process incoming OSC messages.,Bind the UDP receive port and process incoming OSC messages.
Bit Depth: {0},Bit Depth: {0},Hōhonu moka: {0},Profundidad de bits: {0},Bittiefe: {0},Разрядность: {0},ビット深度: {0},عمق البت: {0},बिट गहराई: {0}
Black out all layers,Black out all layers,Pōuri i ngā paparanga katoa,Oscurecer todas las capas,Alle Ebenen schwarz,Зачернить все слои,全レイヤーをブラックアウト,إخفاء كل الطبقات,सभी परतें ब्लैकआउट
Black out all video output layers while keeping display windows open. Runtime-only.,Black out all video output layers while keeping display windows open. Runtime-only.,Black out all video output layers while keeping display windows open. Runtime-only.,Black out all video output layers while keeping display windows open. Runtime-only.,Black out all video output layers while keeping display windows open. Runtime-only.,Black out all video output layers while keeping display windows open. Runtime-only.,Black out all video output layers while keeping display windows open. Runtime-only.,Black out all video output layers while keeping display windows open. Runtime-only.,Black out all video output layers while keeping display windows open. Runtime-only.
Blackout,Blackout,Pōuri,Apagón,Blackout,Блэкаут,ブラックアウト,تعتيم,ब्लैकआउट
Blackout Video,Blackout Video,Pōuri ataata,Apagar vídeo,Video-Blackout,Блэкаут видео,ビデオをブラックアウト,تعتيم الفيديو,वीडियो ब्लैकआउट
Built-in commands,Built-in commands,Ngā whakahau tāpiri,Comandos integrados,Integrierte Befehle,Встроенные команды,組み込みコマンド,أوامر مضمّنة,अंतर्निहित कमांड
By cue number.,By cue number.,Mā te tau tohu.,Por número de cue.,Nach Cue-Nummer.,По номеру реплики.,キュー番号で。,حسب رقم الإشارة.,क्यू नंबर से।
By id alias.,By id alias.,By id alias.,By id alias.,By id alias.,By id alias.,By id alias.,By id alias.,By id alias.
By number.,By number.,By number.,By number.,By number.,By number.,By number.,By number.,By number.
Cancel,Cancel,Whakakore,Cancelar,Abbrechen,Отмена,キャンセル,إلغاء,रद्द करें
"Cancels active commands. Standbys, count-ins and identifies. ","Cancels active commands. Standbys, count-ins and identifies. ","Cancels active commands. Standbys, count-ins and identifies. ","Cancels active commands. Standbys, count-ins and identifies. ","Cancels active commands. Standbys, count-ins and identifies. ","Cancels active commands. Standbys, count-ins and identifies. ","Cancels active commands. Standbys, count-ins and identifies. ","Cancels active commands. Standbys, count-ins and identifies. ","Cancels active commands. Standbys, count-ins and identifies. "
Cannot reorder here,Cannot reorder here,Kāore e taea te whakarārangi i konei,No se puede reordenar aquí,Hier nicht umordnen,Здесь нельзя переставить,ここには並べ替えできません,لا يمكن إعادة الترتيب هنا,यहाँ क्रम नहीं बदल सकते
Cannot target self,Cannot target self,Kāore e taea te ūnga ki a ia anō,No se puede apuntar a sí mismo,Sich selbst nicht als Ziel,Нельзя выбрать себя,自分自身は対象にできません,لا يمكن استهداف الذات,स्वयं को लक्ष्य नहीं बना सकते
Canvas,Canvas,Papa,Lienzo,Canvas,Холст,キャンバス,اللوحة,कैनवास
Canvas ({0}×{1}),Canvas ({0}×{1}),Papa ({0}×{1}),Lienzo ({0}×{1}),Canvas ({0}×{1}),Холст ({0}×{1}),キャンバス ({0}×{1}),اللوحة ({0}×{1}),कैनवास ({0}×{1})
CANVAS EDITOR,CANVAS EDITOR,KAIWHAKATIKA PAPA,EDITOR DE LIENZO,CANVAS-EDITOR,РЕДАКТОР ХОЛСТА,キャンバスエディタ,محرر اللوحة,कैनवास संपादक
